     A    phi  omega
 50.00   0.00   0.63
 50.00   0.00   1.26
 50.00   0.00   1.88
 50.00   0.00   2.51
 50.00   0.00   3.14
 50.00   0.00   3.77
 50.00   0.00   4.40
 50.00   0.00   5.03
 50.00   0.00   5.65
 50.00   0.00   6.28
 50.00   0.00   6.91
 50.00   0.00   7.54
 50.00   0.00   8.17
 50.00   0.00   8.80
 50.00   0.00   9.42
 50.00   0.00  10.05
 50.00   0.00  10.68
 50.00   0.00  11.31
 50.00   0.00  11.94
 50.00   0.00  12.57
 50.00   0.00  13.19
 50.00   0.00  13.82
 50.00   0.00  14.45
 50.00   0.00  15.08
 50.00   0.00  15.71
 50.00   0.00  16.34
 50.00   0.00  16.96
 50.00   0.00  17.59
 50.00   0.00  18.22
 50.00   0.00  18.85
 50.00   0.00  19.48
 50.00   0.00  20.11
 50.00   0.00  20.73
 50.00   0.00  21.36
 50.00   0.00  21.99
 50.00   0.00  22.62
 50.00   0.00  23.25
 50.00   0.00  23.88
 50.00   0.00  24.50
 50.00   0.00  25.13
 50.00   0.00  25.76
 50.00   0.00  26.39
 50.00   0.00  27.02
 50.00   0.00  27.65
 50.00   0.00  28.27
 50.00   0.00  28.90
 50.00   0.00  29.53
 50.00   0.00  30.16
 50.00   0.00  30.79
 50.00   0.00  31.42
